"集合","题目","年份","会议或来源","级别","OpenAlex引用数","影响力判断","说明"
"原收集30篇","Governed Shared Memory for Multi-Agent LLM Systems","2026","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","GateMem: Benchmarking Memory Governance in Multi-Principal Shared-Memory Agents","2026","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Diachronic Hypergraphs for Orchestrated Multi-Agent Multimodal Memory Curation","2026","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Cost and Accuracy of Long-Term Memory in Distributed Multi-Agent Systems Based on Large Language Models","2026","COMPSAC","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Beyond Memory Majority: Latent-Source Reasoning for Multi-Agent Memory Arbitration","2026","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Adaptive Memory and Reflection Multi-Agent System for Medical Question Answering","2026","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","RCR-Router: Efficient Role-Aware Context Routing for Multi-Agent LLM Systems with Structured Memory","2025","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","MultiAgentBench: Evaluating the Collaboration and Competition of LLM Agents","2025","ACL","顶会","29","中等","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","MIRIX: Multi-Agent Memory System for LLM-Based Agents","2025","arXiv","非顶会","1","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Memory OS of AI Agent","2025","EMNLP","顶会","14","中等","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Memory in the Age of AI Agents","2025","arXiv","非顶会","1","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Memory as a Service (MaaS): Rethinking Contextual Memory as Service-Oriented Modules for Collaborative Agents","2025","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Intrinsic Memory Agents: Heterogeneous Multi-Agent LLM Systems through Structured Contextual Memory","2025","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","G-Memory: Tracing Hierarchical Memory for Multi-Agent Systems","2025","NeurIPS","顶会","2","新近顶会/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control","2025","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","A-MEM: Agentic Memory for LLM Agents","2025","NeurIPS","顶会","10","中等","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","ProAgent: Building Proactive Cooperative Agents with Large Language Models","2024","AAAI","顶会","61","高","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","MetaGPT: Meta Programming for a Multi-Agent Collaborative Framework","2024","ICLR","顶会","152","高","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","M-RAG: Reinforcing Large Language Model Performance through Retrieval-Augmented Generation with Multiple Partitions","2024","ACL","顶会","22","中等","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Chain of Agents: Large Language Models Collaborating on Long-Context Tasks","2024","NeurIPS","顶会","25","中等","引用数按 2026-09-13 查询，较新论文需要时间积累"
"补充经典16篇","Generative Agents: Interactive Simulacra of Human Behavior","2023","UIST","顶会","1806","高","多智能体社会模拟与记忆-反思-规划架构的奠基工作"
"补充经典16篇","Reflexion: Language Agents with Verbal Reinforcement Learning","2023","NeurIPS","顶会","284","高","以语言反馈和情景记忆实现跨试次自我改进"
"补充经典16篇","ChatDev: Communicative Agents for Software Development","2024","ACL","顶会","71","较高","角色化多智能体协作与对话链的代表框架"
"补充经典16篇","Voyager: An Open-Ended Embodied Agent with Large Language Models","2024","TMLR","非顶会","203","高","可增长技能库与具身终身学习的代表作"
"补充经典16篇","MemoryBank: Enhancing Large Language Models with Long-Term Memory","2024","AAAI","顶会","16","重要代表作","长期对话记忆、遗忘曲线和用户画像的早期代表作"
"补充经典16篇","CAMEL: Communicative Agents for Mind Exploration of Large Language Model Society","2023","NeurIPS","顶会","100","高","LLM 多智能体角色扮演与协作范式的奠基框架"
"补充经典16篇","ExpeL: LLM Agents Are Experiential Learners","2024","AAAI","顶会","16","重要代表作","从历史轨迹抽取经验并跨任务复用"
"补充经典16篇","Improving Factuality and Reasoning in Language Models through Multiagent Debate","2024","ICML","顶会","94","较高","多智能体辩论推理范式的代表工作"
"补充经典16篇","MemGPT: Towards LLMs as Operating Systems","2023","arXiv","非顶会","54","较高","虚拟上下文与分层记忆管理的系统性奠基工作"
"补充经典16篇","Building Cooperative Embodied Agents Modularly with Large Language Models","2024","ICLR","顶会","40","较高","将感知、记忆与执行模块化用于多智能体具身协作"
"补充经典16篇","AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors","2024","ICLR","顶会","未可靠匹配","高影响框架/引用数据待核对","通用多智能体编排与涌现行为研究框架"
"补充经典16篇","Agent Workflow Memory","2025","ICML","顶会","9","重要代表作","程序性工作流记忆和跨任务经验复用的关键工作"
"补充经典16篇","AriGraph: Learning Knowledge Graph World Models with Episodic Memory for LLM Agents","2025","IJCAI","顶会","9","重要代表作","融合语义与情景记忆的动态图世界模型"
"补充经典16篇","Why Do Multi-Agent LLM Systems Fail?","2025","NeurIPS","顶会","未可靠匹配","高影响框架/引用数据待核对","首个系统化多智能体失败模式分类，直接揭示状态和对齐问题"
"补充经典16篇","AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation","2024","COLM","非顶会","未可靠匹配","高影响框架/引用数据待核对","影响广泛的可编程多智能体会话框架"
"补充经典16篇","Memory Sharing for Large Language Model based Agents","2024","arXiv","非顶会","2","重要代表作","较早直接研究跨智能体记忆共享的工作"
