"年份","特点分类","级别","会议或来源","题目","页数","来源说明","下载链接","本地路径"
"2026","04_记忆路由_检索与效率","顶会","EMNLP","Learning What to Retain: Gated-Memory Routing for Efficient Collaboration in Multi-Agent LLM Systems","18","arXiv:2609.00237; EMNLP 2026 Main","https://arxiv.org/pdf/2609.00237","E:\CSwork\Resources\Papers\Multi-Agents\04_记忆路由_检索与效率\顶会\EMNLP\Learning What to Retain- Gated-Memory Routing for Efficient Collaboration in Multi-Agent LLM Systems.pdf"
"2026","05_一致性_治理与安全","非顶会","arXiv","LatticeMind: A Conflict-Aware Memory Primitive for Multi-Agent Systems","17","arXiv:2608.08236","https://arxiv.org/pdf/2608.08236","E:\CSwork\Resources\Papers\Multi-Agents\05_一致性_治理与安全\非顶会\arXiv\LatticeMind- A Conflict-Aware Memory Primitive for Multi-Agent Systems.pdf"
"2026","05_一致性_治理与安全","非顶会","arXiv","Governed Shared Memory for Multi-Agent LLM Systems","15","arXiv:2606.24535","https://arxiv.org/pdf/2606.24535","E:\CSwork\Resources\Papers\Multi-Agents\05_一致性_治理与安全\非顶会\arXiv\Governed Shared Memory for Multi-Agent LLM Systems.pdf"
"2026","06_基准评测与失效分析","非顶会","arXiv","GateMem: Benchmarking Memory Governance in Multi-Principal Shared-Memory Agents","24","arXiv:2606.18829","https://arxiv.org/pdf/2606.18829","E:\CSwork\Resources\Papers\Multi-Agents\06_基准评测与失效分析\非顶会\arXiv\GateMem- Benchmarking Memory Governance in Multi-Principal Shared-Memory Agents.pdf"
"2026","02_共享协作与图记忆","非顶会","arXiv","Diachronic Hypergraphs for Orchestrated Multi-Agent Multimodal Memory Curation","17","arXiv:2608.29678","https://arxiv.org/pdf/2608.29678","E:\CSwork\Resources\Papers\Multi-Agents\02_共享协作与图记忆\非顶会\arXiv\Diachronic Hypergraphs for Orchestrated Multi-Agent Multimodal Memory Curation.pdf"
"2026","04_记忆路由_检索与效率","非顶会","COMPSAC","Cost and Accuracy of Long-Term Memory in Distributed Multi-Agent Systems Based on Large Language Models","11","COMPSAC 2026; arXiv:2601.07978","https://arxiv.org/pdf/2601.07978","E:\CSwork\Resources\Papers\Multi-Agents\04_记忆路由_检索与效率\非顶会\COMPSAC\Cost and Accuracy of Long-Term Memory in Distributed Multi-Agent Systems Based on Large Language Models.pdf"
"2026","08_通信协议与协作机制","非顶会","arXiv","Beyond Message Passing- A Semantic View of Agent Communication Protocols","34","arXiv:2604.02369","原有文件","E:\CSwork\Resources\Papers\Multi-Agents\08_通信协议与协作机制\非顶会\arXiv\Beyond Message Passing- A Semantic View of Agent Communication Protocols.pdf"
"2026","05_一致性_治理与安全","非顶会","arXiv","Beyond Memory Majority: Latent-Source Reasoning for Multi-Agent Memory Arbitration","15","arXiv:2608.19701","https://arxiv.org/pdf/2608.19701","E:\CSwork\Resources\Papers\Multi-Agents\05_一致性_治理与安全\非顶会\arXiv\Beyond Memory Majority- Latent-Source Reasoning for Multi-Agent Memory Arbitration.pdf"
"2026","07_记忆增强推理与领域应用","非顶会","arXiv","Adaptive Memory and Reflection Multi-Agent System for Medical Question Answering","6","arXiv:2608.19029","https://arxiv.org/pdf/2608.19029","E:\CSwork\Resources\Papers\Multi-Agents\07_记忆增强推理与领域应用\非顶会\arXiv\Adaptive Memory and Reflection Multi-Agent System for Medical Question Answering.pdf"
"2025","06_基准评测与失效分析","顶会","NeurIPS","Why Do Multi-Agent LLM Systems Fail?","47","NeurIPS 2025; arXiv:2503.13657","https://arxiv.org/pdf/2503.13657","E:\CSwork\Resources\Papers\Multi-Agents\06_基准评测与失效分析\顶会\NeurIPS\Why Do Multi-Agent LLM Systems Fail-.pdf"
"2025","04_记忆路由_检索与效率","非顶会","arXiv","RCR-Router: Efficient Role-Aware Context Routing for Multi-Agent LLM Systems with Structured Memory","18","arXiv:2508.04903","https://arxiv.org/pdf/2508.04903","E:\CSwork\Resources\Papers\Multi-Agents\04_记忆路由_检索与效率\非顶会\arXiv\RCR-Router- Efficient Role-Aware Context Routing for Multi-Agent LLM Systems with Structured Memory.pdf"
"2025","06_基准评测与失效分析","顶会","ACL","MultiAgentBench: Evaluating the Collaboration and Competition of LLM Agents","43","ACL 2025","https://aclanthology.org/2025.acl-long.421.pdf","E:\CSwork\Resources\Papers\Multi-Agents\06_基准评测与失效分析\顶会\ACL\MultiAgentBench- Evaluating the Collaboration and Competition of LLM Agents.pdf"
"2025","02_共享协作与图记忆","非顶会","arXiv","MIRIX: Multi-Agent Memory System for LLM-Based Agents","17","arXiv:2507.07957","https://arxiv.org/pdf/2507.07957","E:\CSwork\Resources\Papers\Multi-Agents\02_共享协作与图记忆\非顶会\arXiv\MIRIX- Multi-Agent Memory System for LLM-Based Agents.pdf"
"2025","03_分层_程序性与终身记忆","顶会","EMNLP","Memory OS of AI Agent","10","EMNLP 2025","https://aclanthology.org/2025.emnlp-main.1318.pdf","E:\CSwork\Resources\Papers\Multi-Agents\03_分层_程序性与终身记忆\顶会\EMNLP\Memory OS of AI Agent.pdf"
"2025","01_综述_分类与前瞻","非顶会","arXiv","Memory in the Age of AI Agents","107","arXiv:2512.13564; includes a dedicated multi-agent memory frontier","https://arxiv.org/pdf/2512.13564","E:\CSwork\Resources\Papers\Multi-Agents\01_综述_分类与前瞻\非顶会\arXiv\Memory in the Age of AI Agents.pdf"
"2025","02_共享协作与图记忆","非顶会","arXiv","Memory as a Service (MaaS): Rethinking Contextual Memory as Service-Oriented Modules for Collaborative Agents","5","arXiv:2506.22815","https://arxiv.org/pdf/2506.22815","E:\CSwork\Resources\Papers\Multi-Agents\02_共享协作与图记忆\非顶会\arXiv\Memory as a Service (MaaS)- Rethinking Contextual Memory as Service-Oriented Modules for Collaborative Agents.pdf"
"2025","02_共享协作与图记忆","非顶会","AAAI Workshop MARW","LLM-Powered Decentralized Generative Agents with Adaptive Hierarchical Knowledge Graph for Cooperative Planning","572","AAAI 2025 MARW Workshop; arXiv:2502.05453","原有文件","E:\CSwork\Resources\Papers\Multi-Agents\02_共享协作与图记忆\非顶会\AAAI Workshop MARW\LLM-Powered Decentralized Generative Agents with Adaptive Hierarchical Knowledge Graph for Cooperative Planning.pdf"
"2025","03_分层_程序性与终身记忆","非顶会","arXiv","Intrinsic Memory Agents: Heterogeneous Multi-Agent LLM Systems through Structured Contextual Memory","26","arXiv:2508.08997","https://arxiv.org/pdf/2508.08997","E:\CSwork\Resources\Papers\Multi-Agents\03_分层_程序性与终身记忆\非顶会\arXiv\Intrinsic Memory Agents- Heterogeneous Multi-Agent LLM Systems through Structured Contextual Memory.pdf"
"2025","03_分层_程序性与终身记忆","顶会","NeurIPS","G-Memory: Tracing Hierarchical Memory for Multi-Agent Systems","31","NeurIPS 2025","https://papers.neurips.cc/paper_files/paper/2025/file/136a45cd9b841bf785625709a19c6508-Paper-Conference.pdf","E:\CSwork\Resources\Papers\Multi-Agents\03_分层_程序性与终身记忆\顶会\NeurIPS\G-Memory- Tracing Hierarchical Memory for Multi-Agent Systems.pdf"
"2025","08_通信协议与协作机制","顶会","ICLR","CUT THE CRAP- AN ECONOMICAL COMMUNICATION PIPELINE FOR LLM-BASED MULTI-AGENT SYSTEMS","37","ICLR 2025; arXiv:2410.02506","原有文件","E:\CSwork\Resources\Papers\Multi-Agents\08_通信协议与协作机制\顶会\ICLR\CUT THE CRAP- AN ECONOMICAL COMMUNICATION PIPELINE FOR LLM-BASED MULTI-AGENT SYSTEMS.pdf"
"2025","05_一致性_治理与安全","非顶会","arXiv","Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control","38","arXiv:2505.18279","https://arxiv.org/pdf/2505.18279","E:\CSwork\Resources\Papers\Multi-Agents\05_一致性_治理与安全\非顶会\arXiv\Collaborative Memory- Multi-User Memory Sharing in LLM Agents with Dynamic Access Control.pdf"
"2025","02_共享协作与图记忆","顶会","IJCAI","AriGraph: Learning Knowledge Graph World Models with Episodic Memory for LLM Agents","9","IJCAI 2025; arXiv:2407.04363","https://www.ijcai.org/proceedings/2025/0002.pdf","E:\CSwork\Resources\Papers\Multi-Agents\02_共享协作与图记忆\顶会\IJCAI\AriGraph- Learning Knowledge Graph World Models with Episodic Memory for LLM Agents.pdf"
"2025","03_分层_程序性与终身记忆","顶会","ICML","Agent Workflow Memory","15","ICML 2025","https://raw.githubusercontent.com/mlresearch/v267/main/assets/wang25bx/wang25bx.pdf","E:\CSwork\Resources\Papers\Multi-Agents\03_分层_程序性与终身记忆\顶会\ICML\Agent Workflow Memory.pdf"
"2025","02_共享协作与图记忆","顶会","NeurIPS","A-MEM: Agentic Memory for LLM Agents","28","NeurIPS 2025","https://papers.neurips.cc/paper_files/paper/2025/file/19909c36f51abc4856b4560aff3d36d6-Paper-Conference.pdf","E:\CSwork\Resources\Papers\Multi-Agents\02_共享协作与图记忆\顶会\NeurIPS\A-MEM- Agentic Memory for LLM Agents.pdf"
"2024","03_分层_程序性与终身记忆","非顶会","TMLR","Voyager: An Open-Ended Embodied Agent with Large Language Models","42","TMLR 2024; arXiv:2305.16291","https://arxiv.org/pdf/2305.16291","E:\CSwork\Resources\Papers\Multi-Agents\03_分层_程序性与终身记忆\非顶会\TMLR\Voyager- An Open-Ended Embodied Agent with Large Language Models.pdf"
"2024","07_记忆增强推理与领域应用","顶会","AAAI","ProAgent: Building Proactive Cooperative Agents with Large Language Models","9","AAAI 2024; arXiv:2308.11339","https://arxiv.org/pdf/2308.11339","E:\CSwork\Resources\Papers\Multi-Agents\07_记忆增强推理与领域应用\顶会\AAAI\ProAgent- Building Proactive Cooperative Agents with Large Language Models.pdf"
"2024","02_共享协作与图记忆","顶会","ICLR","MetaGPT: Meta Programming for a Multi-Agent Collaborative Framework","29","ICLR 2024; arXiv:2308.00352","https://arxiv.org/pdf/2308.00352","E:\CSwork\Resources\Papers\Multi-Agents\02_共享协作与图记忆\顶会\ICLR\MetaGPT- Meta Programming for a Multi-Agent Collaborative Framework.pdf"
"2024","03_分层_程序性与终身记忆","顶会","AAAI","MemoryBank: Enhancing Large Language Models with Long-Term Memory","11","AAAI 2024; arXiv:2305.10250","https://arxiv.org/pdf/2305.10250","E:\CSwork\Resources\Papers\Multi-Agents\03_分层_程序性与终身记忆\顶会\AAAI\MemoryBank- Enhancing Large Language Models with Long-Term Memory.pdf"
"2024","02_共享协作与图记忆","非顶会","arXiv","Memory Sharing for Large Language Model based Agents","16","arXiv:2404.09982","https://arxiv.org/pdf/2404.09982","E:\CSwork\Resources\Papers\Multi-Agents\02_共享协作与图记忆\非顶会\arXiv\Memory Sharing for Large Language Model based Agents.pdf"
"2024","04_记忆路由_检索与效率","顶会","ACL","M-RAG: Reinforcing Large Language Model Performance through Retrieval-Augmented Generation with Multiple Partitions","13","ACL 2024","https://aclanthology.org/2024.acl-long.108.pdf","E:\CSwork\Resources\Papers\Multi-Agents\04_记忆路由_检索与效率\顶会\ACL\M-RAG- Reinforcing Large Language Model Performance through Retrieval-Augmented Generation with Multiple Partitions.pdf"
"2024","07_记忆增强推理与领域应用","顶会","ICML","Improving Factuality and Reasoning in Language Models through Multiagent Debate","31","ICML 2024","https://raw.githubusercontent.com/mlresearch/v235/main/assets/du24e/du24e.pdf","E:\CSwork\Resources\Papers\Multi-Agents\07_记忆增强推理与领域应用\顶会\ICML\Improving Factuality and Reasoning in Language Models through Multiagent Debate.pdf"
"2024","03_分层_程序性与终身记忆","顶会","AAAI","ExpeL: LLM Agents Are Experiential Learners","38","AAAI 2024; arXiv:2308.10144","https://arxiv.org/pdf/2308.10144","E:\CSwork\Resources\Papers\Multi-Agents\03_分层_程序性与终身记忆\顶会\AAAI\ExpeL- LLM Agents Are Experiential Learners.pdf"
"2024","08_通信协议与协作机制","顶会","ACL","ChatDev: Communicative Agents for Software Development","13","ACL 2024","https://aclanthology.org/2024.acl-long.810.pdf","E:\CSwork\Resources\Papers\Multi-Agents\08_通信协议与协作机制\顶会\ACL\ChatDev- Communicative Agents for Software Development.pdf"
"2024","04_记忆路由_检索与效率","顶会","NeurIPS","Chain of Agents: Large Language Models Collaborating on Long-Context Tasks","30","NeurIPS 2024","https://proceedings.neurips.cc/paper_files/paper/2024/file/ee71a4b14ec26710b39ee6be113d7750-Paper-Conference.pdf","E:\CSwork\Resources\Papers\Multi-Agents\04_记忆路由_检索与效率\顶会\NeurIPS\Chain of Agents- Large Language Models Collaborating on Long-Context Tasks.pdf"
"2024","07_记忆增强推理与领域应用","顶会","ICLR","Building Cooperative Embodied Agents Modularly with Large Language Models","29","ICLR 2024","https://proceedings.iclr.cc/paper_files/paper/2024/file/54b8b4e0b4ba4aad112e84f32e3b5dbb-Paper-Conference.pdf","E:\CSwork\Resources\Papers\Multi-Agents\07_记忆增强推理与领域应用\顶会\ICLR\Building Cooperative Embodied Agents Modularly with Large Language Models.pdf"
"2024","08_通信协议与协作机制","非顶会","COLM","AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation","43","COLM 2024; arXiv:2308.08155","https://arxiv.org/pdf/2308.08155","E:\CSwork\Resources\Papers\Multi-Agents\08_通信协议与协作机制\非顶会\COLM\AutoGen- Enabling Next-Gen LLM Applications via Multi-Agent Conversation.pdf"
"2024","08_通信协议与协作机制","顶会","ICLR","AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors","43","ICLR 2024","https://proceedings.iclr.cc/paper_files/paper/2024/file/578e65cdee35d00c708d4c64bce32971-Paper-Conference.pdf","E:\CSwork\Resources\Papers\Multi-Agents\08_通信协议与协作机制\顶会\ICLR\AgentVerse- Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors.pdf"
"2023","03_分层_程序性与终身记忆","顶会","NeurIPS","Reflexion: Language Agents with Verbal Reinforcement Learning","19","NeurIPS 2023","https://papers.nips.cc/paper_files/paper/2023/file/1b44b878bb782e6954cd888628510e90-Paper-Conference.pdf","E:\CSwork\Resources\Papers\Multi-Agents\03_分层_程序性与终身记忆\顶会\NeurIPS\Reflexion- Language Agents with Verbal Reinforcement Learning.pdf"
"2023","03_分层_程序性与终身记忆","非顶会","arXiv","MemGPT: Towards LLMs as Operating Systems","13","arXiv:2310.08560","https://arxiv.org/pdf/2310.08560","E:\CSwork\Resources\Papers\Multi-Agents\03_分层_程序性与终身记忆\非顶会\arXiv\MemGPT- Towards LLMs as Operating Systems.pdf"
"2023","07_记忆增强推理与领域应用","顶会","UIST","Generative Agents: Interactive Simulacra of Human Behavior","22","UIST 2023; arXiv:2304.03442","https://arxiv.org/pdf/2304.03442","E:\CSwork\Resources\Papers\Multi-Agents\07_记忆增强推理与领域应用\顶会\UIST\Generative Agents- Interactive Simulacra of Human Behavior.pdf"
"2023","08_通信协议与协作机制","顶会","NeurIPS","CAMEL: Communicative Agents for Mind Exploration of Large Language Model Society","18","NeurIPS 2023","https://proceedings.neurips.cc/paper_files/paper/2023/file/a3621ee907def47c1b952ade25c67698-Paper-Conference.pdf","E:\CSwork\Resources\Papers\Multi-Agents\08_通信协议与协作机制\顶会\NeurIPS\CAMEL- Communicative Agents for Mind Exploration of Large Language Model Society.pdf"
