"研究支线","题目","年份","级别","会议或来源","阅读优先级","补充理由","本地路径"
"12_长期记忆与结构评测","Evaluating Very Long-Term Conversational Memory of LLM Agents","2024","顶会","ACL","S","长期多轮对话、时间事件图与多跳记忆评测基线","E:\CSwork\Resources\Papers\Multi-Agents\12_长期记忆与结构评测\顶会\ACL\Evaluating Very Long-Term Conversational Memory of LLM Agents.pdf"
"12_长期记忆与结构评测","When Personal Memory Has No Single Answer: Evaluating LLM Agents under Irreducible Conflict","2026","非顶会","arXiv","A","不可消解冲突、澄清提问与置信度校准","E:\CSwork\Resources\Papers\Multi-Agents\12_长期记忆与结构评测\非顶会\arXiv\When Personal Memory Has No Single Answer- Evaluating LLM Agents under Irreducible Conflict.pdf"
"11_自进化评估与Rubric","OpenRubrics: Towards Scalable Synthetic Rubric Generation for Reward Modeling and LLM Alignment","2026","顶会","ACL","S","大规模 rubric 生成、过滤与 rubric reward model","E:\CSwork\Resources\Papers\Multi-Agents\11_自进化评估与Rubric\顶会\ACL\OpenRubrics- Towards Scalable Synthetic Rubric Generation for Reward Modeling and LLM Alignment.pdf"
"11_自进化评估与Rubric","Rubrics as Rewards: Reinforcement Learning Beyond Verifiable Domains","2025","非顶会","arXiv","S","将结构化 rubric 作为可解释的强化学习奖励","E:\CSwork\Resources\Papers\Multi-Agents\11_自进化评估与Rubric\非顶会\arXiv\Rubrics as Rewards- Reinforcement Learning Beyond Verifiable Domains.pdf"
"11_自进化评估与Rubric","SedarEval: Automated Evaluation using Self-Adaptive Rubrics","2025","非顶会","arXiv","S","问题级自适应 rubric 与专用评估模型","E:\CSwork\Resources\Papers\Multi-Agents\11_自进化评估与Rubric\非顶会\arXiv\SedarEval- Automated Evaluation using Self-Adaptive Rubrics.pdf"
"10_Memory到Skill与经验蒸馏","Agent Memory Distillation: Empowering Small LLM Agents with Hierarchical Teacher Memory","2026","非顶会","arXiv","S","Workflow、Subtask、Function 三层教师记忆迁移","E:\CSwork\Resources\Papers\Multi-Agents\10_Memory到Skill与经验蒸馏\非顶会\arXiv\Agent Memory Distillation- Empowering Small LLM Agents with Hierarchical Teacher Memory.pdf"
"10_Memory到Skill与经验蒸馏","Memp: Exploring Agent Procedural Memory","2025","非顶会","arXiv","S","轨迹蒸馏为步骤级与脚本级程序记忆，并支持纠正和弃用","E:\CSwork\Resources\Papers\Multi-Agents\10_Memory到Skill与经验蒸馏\非顶会\arXiv\Memp- Exploring Agent Procedural Memory.pdf"
"10_Memory到Skill与经验蒸馏","AgentFly: Fine-tuning LLM Agents without Fine-tuning LLMs","2025","非顶会","arXiv","A","通过案例记忆和在线反馈持续适应而不更新基础模型","E:\CSwork\Resources\Papers\Multi-Agents\10_Memory到Skill与经验蒸馏\非顶会\arXiv\AgentFly- Fine-tuning LLM Agents without Fine-tuning LLMs.pdf"
"09_自适应记忆生命周期","Memory as a Controlled Process: Learned Adaptive Memory Management for LLM Agents","2026","非顶会","arXiv","S","用任务反馈学习检索、计划注入、合并和遗忘策略","E:\CSwork\Resources\Papers\Multi-Agents\09_自适应记忆生命周期\非顶会\arXiv\Memory as a Controlled Process- Learned Adaptive Memory Management for LLM Agents.pdf"
"09_自适应记忆生命周期","What Deserves Memory: Adaptive Memory Distillation for LLM Agents","2026","顶会","ACL","S","直接回答哪些经验值得保留，并报告存储压缩效果","E:\CSwork\Resources\Papers\Multi-Agents\09_自适应记忆生命周期\顶会\ACL\What Deserves Memory- Adaptive Memory Distillation for LLM Agents.pdf"
"09_自适应记忆生命周期","Mem-α: Learning Memory Construction via Reinforcement Learning","2025","非顶会","arXiv","S","以下游问答反馈直接优化记忆构建与更新","E:\CSwork\Resources\Papers\Multi-Agents\09_自适应记忆生命周期\非顶会\arXiv\Mem-α- Learning Memory Construction via Reinforcement Learning.pdf"
"09_自适应记忆生命周期","Memory-R1: Enhancing Large Language Model Agents to Manage and Utilize Memories via Reinforcement Learning","2025","非顶会","arXiv","S","以 RL 学习 ADD、UPDATE、DELETE、NOOP 记忆操作","E:\CSwork\Resources\Papers\Multi-Agents\09_自适应记忆生命周期\非顶会\arXiv\Memory-R1- Enhancing Large Language Model Agents to Manage and Utilize Memories via Reinforcement Learning.pdf"
"09_自适应记忆生命周期","Active Context Compression: Autonomous Memory Management in LLM Agents","2026","非顶会","arXiv","B","主动压缩与原始轨迹剪枝的轻量案例","E:\CSwork\Resources\Papers\Multi-Agents\09_自适应记忆生命周期\非顶会\arXiv\Active Context Compression- Autonomous Memory Management in LLM Agents.pdf"
"09_自适应记忆生命周期","MemPO: Self-Memory Policy Optimization for Long-Horizon Agents","2026","非顶会","ACL Findings","A","面向长程任务的自主压缩、保留与信用分配","E:\CSwork\Resources\Papers\Multi-Agents\09_自适应记忆生命周期\非顶会\ACL Findings\MemPO- Self-Memory Policy Optimization for Long-Horizon Agents.pdf"
"09_自适应记忆生命周期","Choosing How to Remember: Adaptive Memory Structures for LLM Agents","2026","非顶会","arXiv","A","按交互特征自适应选择记忆结构","E:\CSwork\Resources\Papers\Multi-Agents\09_自适应记忆生命周期\非顶会\arXiv\Choosing How to Remember- Adaptive Memory Structures for LLM Agents.pdf"
"09_自适应记忆生命周期","Zep: A Temporal Knowledge Graph Architecture for Agent Memory","2025","非顶会","arXiv","A","双时间知识图谱与动态事实更新，适合学生状态版本化","E:\CSwork\Resources\Papers\Multi-Agents\09_自适应记忆生命周期\非顶会\arXiv\Zep- A Temporal Knowledge Graph Architecture for Agent Memory.pdf"
"09_自适应记忆生命周期","Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory","2025","非顶会","arXiv","A","写入、合并、更新与高效检索的生产级基线","E:\CSwork\Resources\Papers\Multi-Agents\09_自适应记忆生命周期\非顶会\arXiv\Mem0- Building Production-Ready AI Agents with Scalable Long-Term Memory.pdf"
